,village_name,school,hospital,park,retail
216,东尚村委会,28,1,0,23
217,前常二庄村委会,9,3,0,21
218,许张寨村委会,77,15,0,97
219,冯杨村委会,16,2,0,17
220,李河村委会,99,17,2,132
221,代王村委会,47,6,1,38
222,童村村委会,156,20,4,88
223,北街村村民委员会,868,173,18,692
224,南街村村民委员会,868,173,18,671
225,四方桥村委会,16,2,0,39
226,黄墟村委会,26,9,1,40
227,横塘村委会,19,5,2,40
228,花园村委会,162,23,10,137
229,张埝村委会,24,7,0,54
230,大南庄村委会,23,10,1,59
231,界东社区居委会,44,11,1,119
232,界西社区居委会,77,16,2,146
233,金桥村委会,89,14,3,177
234,飞达村委会,67,9,2,133
235,新弄村委会,71,12,1,129
236,赤塘村委会,989,70,40,829
237,宗塘村委会,1028,70,40,861
238,山口村委会,870,64,30,727
239,徐村村委会,165,25,13,216
240,供店村委会,81,19,3,134
241,前流村委会,29,11,0,33
242,江南村委会,144,23,13,200
243,西赵村委会,163,25,14,230
244,毛店村委会,11,6,1,1
245,九联村委会,169,25,14,234
246,西陈村委会,192,20,15,169
247,孔村村委会,525,60,22,556
248,平畴村委会,513,49,15,920
249,下湾村委会,8,4,0,8
250,候儿村委会,473,50,14,817
251,新兴村委会,560,56,14,874
252,后湖村委会,760,66,28,983
253,下王村委会,691,73,50,413
254,尚仁村委会,793,68,30,848
255,大元村委会,12,7,0,10
256,西谷村委会,29,11,0,33
257,青岩傅村委会,396,40,18,403
258,大湖头村委会,637,60,22,391
259,船埠头村委会,29,10,4,37
260,石塔头村委会,50,13,3,107
261,青口村委会,808,68,29,863
262,东新屋村委会,601,68,17,887
263,龚大塘村委会,1091,88,44,1047
264,下傅村委会,938,83,41,891
265,杨村社区居民委员会,1040,96,42,973
266,诸宅村委会,627,68,29,674
267,龙回村委会,854,72,37,779
268,象山村委会,340,52,17,545
269,新村村委会,310,56,16,553
270,柯村村委会,83,26,2,170
271,江湾村委会,195,30,15,301
272,新屋村委会,601,68,26,651
273,下柳村委会,322,49,17,487
274,崇山村委会,135,27,11,219
275,后申塘村委会,683,67,29,717
276,杨梅院村委会,147,31,8,228
277,上崇山村委会,156,30,14,235
