,village_name,school,hospital,park,retail
1453,李郎村委会,29,4,2,30
1454,马陵居委会,17,12,2,33
1455,东大居委会,13,6,0,18
1456,果园居委会,546,103,14,382
1457,红星居委会,44,17,2,80
1458,耿车居委会,46,11,3,119
1459,新华居委会,43,12,4,95
1460,红卫村委会,44,13,3,94
1461,湖稍村委会,45,14,4,95
1462,五星村委会,47,14,4,107
1463,三义村委会,36,14,1,96
1464,大众村委会,47,16,4,95
1465,刘圩村委会,30,8,1,61
1466,大同村委会,37,12,4,106
1467,肖桥村委会,40,13,0,48
1468,蚕桑村委会,33,12,0,49
1469,毛集村委会,16,8,1,16
1470,王庄村委会,8,4,0,16
1471,徐洼村委会,30,8,3,48
1472,杨集村委会,122,25,9,119
1473,九城村委会,17,12,0,22
1474,花园村委会,32,13,1,51
1475,罗圩居委会,21,10,1,46
1476,古山河居委会,16,9,0,30
1477,集东居委会,29,13,0,47
1478,湖滨居委会,33,6,81,34
1479,蔡家洼村民委员会,161,35,16,201
1480,雷村村委会,3,6,0,3
1481,春华村委会,276,48,24,215
1482,秋丰村委会,307,52,29,238
1483,谢家溪村委会,62,9,9,69
1484,木桥头村委会,63,16,8,83
1485,建华村委会,40,16,5,73
1486,勤丰村委会,66,10,2,53
1487,长垄村委会,60,14,6,36
1488,城北村委会,124,17,2,103
1489,西城头村委会,30,2,1,36
1490,另胡村委会,3,3,0,0
1491,桃花村村委会,235,44,5,163
1492,上拨剑村委会,21,3,1,12
1493,陈西村村委会,23,11,0,34
1494,裕丰村村委会,29,14,1,30
1495,里坂村委会,11,11,1,8
1496,雅致村委会,13,11,1,8
1497,湖头村委会,25,8,0,24
1498,三王村委会,7,3,1,0
1499,许宅村委会,22,9,0,19
1500,固堆庙村民委员会,153,21,0,91
1501,五里墩村民委员会,342,75,13,214
1502,段店村民委员会,37,8,0,46
1503,毕庄村民委员会,24,5,0,26
1504,水牛李村民委员会,26,2,0,27
1505,姜樊村村民委员会,8,4,0,9
1506,东黄海村民委员会,8,1,0,6
1507,欧徐新村村民委员会,26,6,0,25
1508,曹楼村民委员会,11,5,0,13
1509,烟王村民委员会,16,5,0,31
1510,姚楼村民委员会,7,4,0,7
1511,商店村民委员会,28,3,0,32
1512,南张楼村民委员会,14,3,0,20
1513,薛扶集村民委员会,15,4,0,16
1514,南曹社区村民委员会,368,68,3,245
1515,关桥村民委员会,22,8,0,21
1516,阚店村民委员会,15,3,0,38
1517,东方红村村民委员会,14,6,0,13
1518,侯庙村民委员会,14,6,0,13
1519,邢庄村民委员会,20,7,0,14
1520,孔楼村民委员会,194,21,3,176
1521,宫庄村民委员会,71,10,0,97
1522,后店子村民委员会,29,9,1,45
1523,冯桥村民委员会,12,7,0,31
1524,红星村村民委员会,66,11,5,43
1525,杜各村村民委员会,64,11,5,42
1526,大张庄村委会,32,2,0,11
1527,西村村民委员会,26,2,5,10
1528,后林村民委员会,16,5,0,17
